number_offices,activities_conducted,year,job_id,pdf_key,filing_id,number_employees,ein,region,specific_type_activity,total_expenditures,source_url
20,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,130,520595110,Europe (including Iceland & Greenland),"Instruction, Research & Clinical Practice",25025869,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,Europe (including Iceland & Greenland),Student Services,1276498,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Program Services,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,Europe (including Iceland & Greenland),Libraries,744853,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
0,Fundraising,2009,16d0923ad110dfb8687feb47cee127f405d527c57d7b7735e4aa321ed14d1ebe,EIN_520595110_YEAR_2009_FORMTYPE_990.pdf,520595110_2009,0,520595110,Europe (including Iceland & Greenland),N/A,200785,https://projects.propublica.org/nonprofits/download-filing?path=2010_09_EO%2F52-0595110_990_200906.pdf
2,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,50,520595110,Middle East & North Africa,Instruction Sponsored Research,7149808,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Fundraising,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Middle East North Africa,N/A,20882,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Middle East North Africa,N/A,346263,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
0,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,9,520595110,North America (excluding US),Instruction & Sponsored Research,1367836,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,North America (excluding US),General Services & Administration,6182,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,North America (excluding US,Student Services,221541,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
